Question,SelectedOptionId,TC Category Code
"Do you hold any Digital Assets (e.g. cryptocurrency, nonfungible tokens, etc.) in a foreign account or platform?",Yes,TC.OTH
Do you have the decree or certificate?,No,NOT REQUIERED
Do you have the decree or certificate?,Yes,TC.OTH
Do you have documents to support this change?,N/A,NOT REQUIERED
Do you have documents to support this change?,Yes,TC.WAG
"Do you have copies of your personal income tax returns from the last 3 years? If yes, please upload.",Yes,TC.PYI
"Do you have any children under age 18 with unearned income more than $1,250?",Yes,TC.KID
"Do you have any children under age 18 with unearned (taxable interest, dividends, capital gains) income more than $1,250?",N/A,NOT REQUIERED
"Do you have any children under age 18 with unearned (taxable interest, dividends, capital gains) income more than $1,250?",No,NOT REQUIERED
"Do you have any children age 18 or student children, aged 19 to 23, who did not provide more than half of their cost of support with earned income and that have unearned income of more than $1,250?",N/A,NOT REQUIERED
"Do you have any children age 18 or student children, aged 19 to 23, who did not provide more than half of their cost of support with earned income and that have unearned income of more than $1,250?",Yes,TC.KID
"Do you have any children age 18 or student children, aged 19 to 23, who did not provide more than half of their cost of support with earned income and that have unearned income of more than $1,250?",No,NOT REQUIERED
"Do you have an IP PIN?  If you were assigned a six digit Identity Protection PIN (IP PIN) by the IRS, please obtain the updated IP PIN for returns filed during the current calendar year.  This IP PIN is updated by the IRS each year and can be obtained from this address www.IRS.gov/IPPIN.  We will need an updated IP PIN for any person listed on the return that has obtained this secure feature to electronically file returns with the IRS.  ",Yes,TC.OTH
"Do you have an IP PIN?  If you were assigned a six digit Identity Protection PIN (IP PIN) by the IRS, please obtain the updated IP PIN for returns filed during the current calendar year.  This IP PIN is updated by the IRS each year and can be obtained from this address www.IRS.gov/IPPIN.  We will need an updated IP PIN for any person listed on the return that has obtained this secure feature to electronically file returns with the IRS.  ",No,NOT REQUIERED
"Do you have an IP PIN?  If you were assigned a six digit Identity Protection PIN (IP PIN) by the IRS, please obtain the updated IP PIN for returns filed during the current calendar year.  This IP PIN is updated by the IRS each year and can be obtained from this address www.IRS.gov/IPPIN.  We will need an updated IP PIN for any person listed on the return that has obtained this secure feature to electronically file returns with the IRS.  ",N/A,NOT REQUIERED
Do you have a new W-2? ,Yes,TC.WAG
"Do you have a new child or dependent? If yes, provide a copy of birth certificate and/or Social Security Card. (We are required to obtain this information for Form 8867 Due Diligence with the IRS).",Yes,TC.OTH
"Do you have a new child or dependent? If yes, provide a copy of birth certificate and/or Social Security Card. (We are required to obtain this information for Form 8867 Due Diligence with the IRS).",No,NOT REQUIERED
"Do you have a new child or dependent? If yes, provide a copy of birth certificate and/or Social Security Card. (We are required to obtain this information for Form 8867 Due Diligence with the IRS).",N/A,NOT REQUIERED
"Do you have a home equity loan, or did you take out a new home equity loan this year?",Yes,TC.OTH
"Do you have a home equity loan, or did you take out a new home equity loan this year?",N/A,NOT REQUIERED
"Do you have a home equity loan, or did you take out a new home equity loan this year?",No,NOT REQUIERED
"Do you have a current driver's license? If yes, please upload a copy.",Yes,TC.OTH
"Do you foster or have you adopted children? If yes, please upload foster or adoption documents.  ",No,NOT REQUIERED
"Do you expect a large fluctuation in income, deductions, or withholding for next year?",Yes,TC.OTH
"Do you expect a large fluctuation in income, deductions, or withholding for next year?",No,NOT REQUIERED
"Do you expect a large fluctuation in income, deductions, or withholding for next year?",N/A,NOT REQUIERED
"Do you and/or your spouse have a valid state issued driver's license or identification? If so, please upload a photo for each.",Yes,TC.OTH
"Do you and/or your spouse have a valid state issued driver's license or identification? If so, please upload a photo for each.",No,NOT REQUIERED
Do we already of have copies of all notices and applicable correspondence?,Yes,TC.IRS
Do we already of have copies of all notices and applicable correspondence?,N/A,NOT REQUIERED
"Do either you or your spouse receive an Identity Protection Pin (IP Pin)? If yes, please provide the Pin and indicate who receives the Pin",No,NOT REQUIERED
"Do either you or your spouse receive an Identity Protection Pin (IP Pin)? If yes, please provide the Pin and indicate who receives the Pin",Yes,TC.OTH
"Do either you or your spouse receive an Identity Protection Pin (IP Pin)? If yes, please provide the Pin and indicate who receives the Pin",N/A,NOT REQUIERED
Did your spouse work for an employer this year?,No,NOT REQUIERED
Did your spouse work for an employer this year?,Yes,TC.WAG
Did your spouse work for an employer this year?,N/A,NOT REQUIERED
"Did your spouse rollover any amount from a retirement plan, annuity plan, tax shelter annuity, or deferred compensation plan to another retirement plan? ",No,NOT REQUIERED
"Did your spouse rollover any amount from a retirement plan, annuity plan, tax shelter annuity, or deferred compensation plan to another retirement plan? ",N/A,NOT REQUIERED
"Did your spouse rollover any amount from a retirement plan, annuity plan, tax shelter annuity, or deferred compensation plan to another retirement plan? ",Yes,TC.IRA
"Did your spouse receive payment from a retirement  plan (401(k), IRA, SEP, SIMPLE or any other retirement plan) this year? If yes, please upload all Forms 1099-R and Forms 5498.",No,NOT REQUIERED
"Did your spouse receive payment from a retirement  plan (401(k), IRA, SEP, SIMPLE or any other retirement plan) this year? If yes, please upload all Forms 1099-R and Forms 5498.",Yes,TC.IRA
"Did your spouse receive payment from a retirement  plan (401(k), IRA, SEP, SIMPLE or any other retirement plan) this year? If yes, please upload all Forms 1099-R and Forms 5498.",N/A,NOT REQUIERED
"Did your spouse receive payment from a pension or profit sharing plan this year or expect to receive any payment next year? If yes, please upload documentation.",Yes,TC.IRA
"Did your spouse receive payment from a pension or profit sharing plan this year or expect to receive any payment next year? If yes, please upload documentation.",N/A,NOT REQUIERED
"Did your spouse receive payment from a pension or profit sharing plan this year or expect to receive any payment next year? If yes, please upload documentation.",No,NOT REQUIERED
"Did your spouse receive deferred, retirement, or severance compensation? If yes, please upload all Forms 1099-R or other documentation of amount or payor details.",Yes,TC.IRA
"Did your spouse receive deferred, retirement, or severance compensation? If yes, please upload all Forms 1099-R or other documentation of amount or payor details.",No,NOT REQUIERED
"Did your spouse receive deferred, retirement, or severance compensation? If yes, please upload all Forms 1099-R or other documentation of amount or payor details.",N/A,NOT REQUIERED
"Did your spouse make payment to a retirement plan (IRA, SEP, SIMPLE or any other retirement plan) this year? If yes, please upload all Forms 5498 or other tax information.",No,NOT REQUIERED
"Did your spouse make payment to a retirement plan (IRA, SEP, SIMPLE or any other retirement plan) this year? If yes, please upload all Forms 5498 or other tax information.",Yes,TC.IRC
"Did your spouse make payment to a retirement plan (IRA, SEP, SIMPLE or any other retirement plan) this year? If yes, please upload all Forms 5498 or other tax information.",N/A,NOT REQUIERED
"Did your spouse convert a traditional IRA to a Roth IRA during the year? If yes, please upload all Forms 1099-R related to the conversion and Forms 5498 for all IRA accounts (regular and Roth IRA).",Yes,TC.IRA
"Did your spouse convert a traditional IRA to a Roth IRA during the year? If yes, please upload all Forms 1099-R related to the conversion and Forms 5498 for all IRA accounts (regular and Roth IRA).",No,NOT REQUIERED
"Did your spouse convert a traditional IRA to a Roth IRA during the year? If yes, please upload all Forms 1099-R related to the conversion and Forms 5498 for all IRA accounts (regular and Roth IRA).",N/A,NOT REQUIERED
"Did your or your spouse receive any distributions from long-term care insurance contracts? If yes, please include Forms 1099-LTC.",No,NOT REQUIERED
"Did your or your spouse receive any distributions from long-term care insurance contracts? If yes, please include Forms 1099-LTC.",N/A,NOT REQUIERED
Did your marital status change? ,Yes,TC.OTH
Did your marital status change? ,No,NOT REQUIERED
"Did your marital status change during the year? If yes, explain:",NULL,NOT REQUIERED
Did your direct deposit or withdraw bank account change from last year?  (if used),N/A,NOT REQUIERED
Did your direct deposit or withdraw bank account change from last year?  (if used),No,NOT REQUIERED
Did your direct deposit or withdraw bank account change from last year?  (if used),Yes,TC.OTH
Did your children have any earned income?,No,NOT REQUIERED
Did your children have any earned income?,N/A,NOT REQUIERED
Did your children have any earned income?,Yes,TC.KID
"Did your child or other dependent have earned income this year (W-2 or Form 1099-NEC)?  If so, if over age 18 they must be under the age of 24 and a full time student at least 5 months of the year or earned less than $4700 to be claimed as a dependent.",Yes,TC.KID
"Did your child or other dependent have earned income this year (W-2 or Form 1099-NEC)?  If so, if over age 18 they must be under the age of 24 and a full time student at least 5 months of the year or earned less than $4700 to be claimed as a dependent.",No,NOT REQUIERED
"Did your child or other dependent have earned income this year (W-2 or Form 1099-NEC)?  If so, if over age 18 they must be under the age of 24 and a full time student at least 5 months of the year or earned less than $4700 to be claimed as a dependent.",N/A,NOT REQUIERED
"Did you, your spouse, or your dependents receive any student loan forgiveness during 2023?  If yes, please upload a copy of your 1099C.",No,NOT REQUIERED
"Did you, your spouse, or your dependents contribute to or take any distributions from a 529 plan?",No,NOT REQUIERED
"Did you, your spouse, or your dependents contribute to or take any distributions from a 529 plan?",Yes,TC.Q99
"Did you, your spouse, or dependents receive an Identity Protection PIN (IP PIN) from the IRS or have you been a victim of identity theft? If yes, attach the IRS letter for filing returns in 2023.",N/A,NOT REQUIERED
"Did you, your spouse, or dependents receive an Identity Protection PIN (IP PIN) from the IRS or have you been a victim of identity theft? If yes, attach the IRS letter for filing returns in 2023.",Yes,TC.OTH
"Did you, your spouse, or dependents receive an Identity Protection PIN (IP PIN) from the IRS or have you been a victim of identity theft? If yes, attach the IRS letter for filing returns in 2023.",No,NOT REQUIERED
"Did you, your spouse, or dependents receive an Identity Protection PIN (IP PIN) for the year?  These are issued by mail if you were a victim of identity theft in a previous year or requested the IRS to issue the PIN as additional security for your tax account. ",No,NOT REQUIERED
"Did you, your spouse, or dependents receive an Identity Protection PIN (IP PIN) for the year?  These are issued by mail if you were a victim of identity theft in a previous year or requested the IRS to issue the PIN as additional security for your tax account. ",N/A,NOT REQUIERED
"Did you, your spouse, or dependents receive an Identity Protection PIN (IP PIN) for the year?  These are issued by mail if you were a victim of identity theft in a previous year or requested the IRS to issue the PIN as additional security for your tax account. ",Yes,TC.IRS
"Did you, your spouse, or any dependents receive an Identity Protection Pin (IP PIN) from the IRS or have you or your dependents been a victim of identity theft? If yes, upload the IRS letter.",No,NOT REQUIERED
"Did you, your spouse, or any dependents receive an Identity Protection Pin (IP PIN) from the IRS or have you or your dependents been a victim of identity theft? If yes, upload the IRS letter.",N/A,NOT REQUIERED
"Did you, your spouse, or any dependents receive an Identity Protection Pin (IP PIN) from the IRS or have you or your dependents been a victim of identity theft? If yes, upload the IRS letter.",Yes,TC.IRS
"Did you, your spouse, or any dependents receive a distrubution from an Achieving a Better Life Experience (ABLE) savings account?",No,NOT REQUIERED
"Did you, your spouse, or any dependent(s) receive healthcare coverage this year?",Yes,TC.95B
"Did you, your spouse, or any dependent receive healthcare coverage this year? If yes, please upload all Forms 1095-B and 1095-C received.",Yes,TC.95B
"Did you, your spouse, or any dependent receive healthcare coverage this year? If yes, please upload all Forms 1095-B and 1095-C received.",No,NOT REQUIERED
"Did you, your spouse, or any dependent receive healthcare coverage this year? If yes, please upload all Forms 1095-B and 1095-C received.",N/A,NOT REQUIERED
"Did you, your spouse, or any dependent receive healthcare coverage this year?",No,NOT REQUIERED
"Did you, your spouse, or any dependent receive healthcare coverage this year?",N/A,NOT REQUIERED
"Did you, your spouse, or any dependent receive healthcare coverage this year?",Yes,TC.95B
"Did you, your spouse, or any dependent receive healthcare coverage this year? ",No,NOT REQUIERED
"Did you, your spouse, or any dependent receive healthcare coverage this year?",Yes,TC.OTH
"Did you, your spouse, or any dependent receive healthcare coverage this year? ",Yes,TC.95C
"Did you, your spouse, or any dependent receive healthcare coverage this year? ",N/A,NOT REQUIERED
"Did you, your spouse, or any dependent receive healthcare coverage this year from employer-provided health coverage?",Yes,TC.95B
"Did you, your spouse, or any dependent receive healthcare coverage this year from employer-provided health coverage?",N/A,NOT REQUIERED
"Did you, your spouse, or any dependent receive healthcare coverage this year from employer-provided health coverage?",No,NOT REQUIERED
"Did you, your spouse, or any dependent receive employer sponsored healthcare coverage? ",Yes,TC.95C
"Did you, your spouse, or any dependent receive employer sponsored healthcare coverage? ",No,NOT REQUIERED
"Did you, your spouse, or a dependent receive a distribution from an Education Savings Account or a Qualified Tuition Program?",No,NOT REQUIERED
"Did you, your spouse, or a dependent receive a distribution from an Education Savings Account or a Qualified Tuition Program?",Yes,TC.Q99
"Did you, your spouse, and dependents (if applicable) have full year healthcare coverage?",No,NOT REQUIERED
"Did you, your spouse, and dependents (if applicable) have full year healthcare coverage?",Yes,TC.95B
"Did you, your spouse or dependent receive a distribution from a 529 Plan or Education Savings Plan?",Yes,TC.Q99
"Did you, your spouse or dependent receive a distribution from a 529 Plan or Education Savings Plan?",No,NOT REQUIERED
"Did you, your spouse or dependent receive a distribution from a 529 Plan or Education Savings Plan?",No,NOT REQUIERED
"Did you, your spouse or dependent receive a distribution from a 529 Plan or Education Savings Plan?",Yes,TC.Q99
"Did you, your spouse or any dependent take money from a 529 account in 2023?",N/A,NOT REQUIERED
"Did you, your spouse or any dependent take money from a 529 account in 2023?",No,NOT REQUIERED
"Did you, your spouse or any dependent take money from a 529 account in 2023?",Yes,TC.Q99
"Did you, your spouse and all dependents have health care coverage for the full year through an employer?",N/A,NOT REQUIERED
"Did you, your spouse and all dependents have health care coverage for the full year through an employer?",Yes,TC.95C
"Did you, your spouse and all dependents have health care coverage for the full year through an employer?",No,NOT REQUIERED
Did you work for an employer? ,No,NOT REQUIERED
Did you work for an employer? ,N/A,NOT REQUIERED
Did you work for an employer? ,Yes,TC.WAG
Did you work for an employer this year?,No,NOT REQUIERED
Did you work for an employer this year?,Yes,TC.WAG
Did you withdraw any amounts from a Coverdell Educations Savings Account or Qualified Education Program (Section 529) plan?,N/A,NOT REQUIERED
Did you withdraw any amounts from a Coverdell Educations Savings Account or Qualified Education Program (Section 529) plan?,Yes,TC.Q99
Did you withdraw any amounts from a Coverdell Educations Savings Account or Qualified Education Program (Section 529) plan?,No,NOT REQUIERED
Did you utilize any portion of your home for business use?,Yes,TC.OAD
Did you utilize any portion of your home for business use?,Yes,TC.OTH
Did you utilize any portion of your home for business use?,No,NOT REQUIERED
Did you utilize any portion of your home for business use?,No,NOT REQUIERED
Did you utilize any portion of your home for business use?,N/A,NOT REQUIERED
Did you utilize any portion of your home for business use?,N/A,NOT REQUIERED
"Did you utilize any portion of your home for business use under a Schedule C, Sole Proprietor business?",No,NOT REQUIERED
"Did you use your HSA (i.e., pay for medical expenses) or take any distributions from your HSA last year? ",Yes,TC.HSA
"Did you use your HSA (i.e., pay for medical expenses) or take any distributions from your HSA last year? ",No,NOT REQUIERED
"Did you use funds from a qualified education account, or qualified tuition program?",N/A,NOT REQUIERED
"Did you use funds from a qualified education account, or qualified tuition program?",No,NOT REQUIERED
"Did you use funds from a qualified education account, or qualified tuition program?",Yes,TC.Q99
"Did you transfer, rollover, or convert any amount from a retirement plan to another?",No,NOT REQUIERED
"Did you transfer, rollover, or convert any amount from a retirement plan to another?",Yes,TC.IRA
Did you take out a home equity loan?,No,NOT REQUIERED
Did you take out a home equity loan?,Yes,TC.OTH
Did you take out a home equity loan this year?,Yes,TC.WAG
Did you take any HSA distributions in 2023?,N/A,NOT REQUIERED
Did you take any HSA distributions in 2023?,No,NOT REQUIERED
Did you take any HSA distributions in 2023?,Yes,TC.HSA
"Did you take any distributions from an HSA in 2023?  (Unless you tell us otherwise, all distributions will be assumed to have been used for qualified medical expenses.)",No,NOT REQUIERED
"Did you take any distributions from an HSA in 2023?  (Unless you tell us otherwise, all distributions will be assumed to have been used for qualified medical expenses.)",N/A,NOT REQUIERED
"Did you take any distributions from an HSA in 2023?  (Unless you tell us otherwise, all distributions will be assumed to have been used for qualified medical expenses.)",Yes,TC.HSA
Did you take any distributions from an education saving plan such as a 529?,No,NOT REQUIERED
Did you take any distributions from an education saving plan such as a 529?,Yes,TC.Q99
Did you take any distributions form an education saving plan such as a 529?,Yes,TC.Q99
Did you take a distribution from your 529 or Coverdell ESA plan last year?,No,NOT REQUIERED
Did you take a distribution from your 529 or Coverdell ESA plan last year?,Yes,TC.Q99
Did you take a distribution from an education savings account or 529 plan during the year?,No,NOT REQUIERED
Did you take a distribution from an education savings account or 529 plan during the year?,Yes,TC.Q99
Did you take a distribution from an education savings account or 529 plan during the year?,N/A,NOT REQUIERED
"Did you start or acquire an interest in a S corporation or partnership during the year?  If yes, please upload a copy of the related K-1 issued by the tax preparer of the business return.",N/A,NOT REQUIERED
"Did you start or acquire an interest in a S corporation or Partnership during the year?  If yes, please upload a copy of the related K-1 issued by the tax preparer of the business return.",Yes,TC.SK1
"Did you start or acquire an interest in a S corporation or partnership during the year?  If yes, please upload a copy of the related K-1 issued by the tax preparer of the business return.",No,NOT REQUIERED
Did you start a new job?,Yes,TC.WAG
"Did you start a NEW business or farm, purchase rental or royalty property, or acquire an interest in a partnership, S corporation, trust, or REMIC in 2023?",N/A,NOT REQUIERED
"Did you start a NEW business or farm, purchase rental or royalty property, or acquire an interest in a partnership, S corporation, trust, or REMIC in 2023?",Yes,TC.OTH
"Did you start a NEW business or farm, purchase rental or royalty property, or acquire an interest in a partnership, S corporation, trust, or REMIC in 2023?",No,NOT REQUIERED
"Did you start a business or farm, purchase rental or royalty property, or acquire an interest in a partnership, S corporation, trust, or REMIC?",No,NOT REQUIERED
"Did you start a business or farm, purchase rental or royalty property, or acquire an interest in a partnership, S corporation, trust, or REMIC?",No,NOT REQUIERED
"Did you start a business or farm, purchase rental or royalty property, or acquire an interest in a partnership, S corporation, trust, or REMIC?",Yes,TC.SK1
"Did you start a business or farm, purchase rental or royalty property, or acquire an interest in a partnership, S corporation, trust, or REMIC?",N/A,NOT REQUIERED
Did you set up any trusts in 2023? ,N/A,NOT REQUIERED
Did you set up any trusts in 2023? ,Yes,TC.OTH
Did you set up any trusts in 2023? ,No,NOT REQUIERED
"Did you sell, exchange, or purchase any real estate during the year?",Yes,TC.WAG
"Did you sell, exchange, or purchase any real estate during the year?",No,NOT REQUIERED
"Did you sell, exchange, or purchase any real estate during the year?",No,NOT REQUIERED
"Did you sell, exchange, or purchase any real estate during the year?",Yes,TC.OTH
"Did you sell, exchange, or purchase any other real estate during the year? If yes please provide details and the closing statement you received from your Title Company.",No,NOT REQUIERED
"Did you sell, exchange, or purchase any other real estate during the year? If yes please provide details and the closing statement you received from your Title Company.",N/A,NOT REQUIERED
"Did you sell, exchange, or purchase any other real estate during the year? If yes please provide details and the closing statement you received from your Title Company.",Yes,TC.OTH
"Did you sell, exchange, or purchase any other real estate during the year?",No,NOT REQUIERED
"Did you sell, exchange, or purchase any other real estate during the year?",N/A,NOT REQUIERED
"Did you sell, exchange, or purchase any other real estate during the year?",Yes,TC.OTH
"Did you sell, exchange, or purchase any other real estate during the year (this is NOT your principal home i.e. rental property?) If yes, provide closing documents. ",Yes,TC.OTH
"Did you sell, exchange, or purchase any other real estate during the year (this is NOT your principal home i.e. rental property?) If yes, provide closing documents. ",N/A,NOT REQUIERED
"Did you sell, exchange, or purchase any other real estate during the year (this is NOT your principal home i.e. rental property?) If yes, provide closing documents. ",No,NOT REQUIERED
"Did you rollover any amount from a retirement plan, annuity plan, tax shelter annuity, or deferred compensation plan to another retirement plan? ",No,NOT REQUIERED
"Did you rollover any amount from a retirement plan, annuity plan, tax shelter annuity, or deferred compensation plan to another retirement plan? ",Yes,TC.IRA
"Did you rollover any amount from a retirement plan, annuity plan, tax shelter annuity, or deferred compensation plan to another retirement plan? ",N/A,NOT REQUIERED
Did you rollover any amount from a retirement plan to another retirement plan? This includes rolling over IRAs to Roths. ,N/A,NOT REQUIERED
Did you rollover any amount from a retirement plan to another retirement plan? This includes rolling over IRAs to Roths. ,Yes,TC.IRA
Did you rollover any amount from a retirement plan to another retirement plan? This includes rolling over IRAs to Roths. ,No,NOT REQUIERED
Did you refinance a principal residence or second home this year?,No,NOT REQUIERED
Did you refinance a principal residence or second home this year?,Yes,TC.OTH
"Did you refinance a mortgage on a personal residence? If yes, please provide closing statement.",No,NOT REQUIERED
"Did you refinance a mortgage on a personal residence? If yes, please provide closing statement.",Yes,TC.OTH
"Did you refinance a mortgage on a personal residence? If yes, please provide closing statement.",N/A,NOT REQUIERED
Did you refinance a mortgage during 2023?,Yes,TC.OTH
Did you refinance a mortgage during 2023?,N/A,NOT REQUIERED
Did you refinance a mortgage during 2023?,No,NOT REQUIERED
Did you receive unemployment compensation? Upload Form 1099-G issued by the state.,N/A,NOT REQUIERED
Did you receive unemployment compensation? Upload Form 1099-G issued by the state.,Yes,TC.G99
Did you receive unemployment compensation? Upload Form 1099-G issued by the state.,No,NOT REQUIERED
"Did you receive payment from a retirement  plan (401(k), IRA, SEP, SIMPLE or any other retirement plan) this year? If yes, please upload all Forms 1099-R and Forms 5498.",No,NOT REQUIERED
"Did you receive payment from a retirement  plan (401(k), IRA, SEP, SIMPLE or any other retirement plan) this year? If yes, please upload all Forms 1099-R and Forms 5498.",N/A,NOT REQUIERED
"Did you receive payment from a retirement  plan (401(k), IRA, SEP, SIMPLE or any other retirement plan) this year? If yes, please upload all Forms 1099-R and Forms 5498.",Yes,TC.IRA
"Did you receive payment from a pension or profit sharing plan this year or expect to receive any payment next year? If yes, please upload documentation.",N/A,NOT REQUIERED
"Did you receive payment from a pension or profit sharing plan this year or expect to receive any payment next year? If yes, please upload documentation.",No,NOT REQUIERED
"Did you receive payment from a pension or profit sharing plan this year or expect to receive any payment next year? If yes, please upload documentation.",Yes,TC.IRA
Did you receive income as an employee?,Yes,TC.WAG
Did you receive income as an employee?,Yes,TC.WAG
Did you receive grants of stock options from your employer or disposed of any stock acquired under a qualified employee stock purchase plan?,Yes,TC.OTH
Did you receive grants of stock options from your employer or disposed of any stock acquired under a qualified employee stock purchase plan?,N/A,NOT REQUIERED
Did you receive grants of stock options from your employer or disposed of any stock acquired under a qualified employee stock purchase plan?,No,NOT REQUIERED
"Did you receive Form 1099-S? If Yes, include Form 1099-S.",N/A,NOT REQUIERED
"Did you receive Form 1099-S? If Yes, include Form 1099-S.",Yes,TC.OTH
"Did you receive Form 1099-S? If Yes, include Form 1099-S.",No,NOT REQUIERED
"Did you receive Form 1099-Q? If yes, please provide a copy.",Yes,TC.Q99
"Did you receive Form 1099-Q? If yes, please provide a copy.",No,NOT REQUIERED
"Did you receive deferred, retirement, or severance compensation? If yes, please upload all Forms 1099-R or other documentation of amount or payor details.",N/A,NOT REQUIERED
"Did you receive deferred, retirement, or severance compensation? If yes, please upload all Forms 1099-R or other documentation of amount or payor details.",No,NOT REQUIERED
"Did you receive deferred, retirement, or severance compensation? If yes, please upload all Forms 1099-R or other documentation of amount or payor details.",Yes,TC.IRA
Did you receive correspondence from the State or the IRS?,Yes,TC.IRS
Did you receive correspondence from the State or the IRS?,N/A,NOT REQUIERED
Did you receive correspondence from the State or the IRS?,No,NOT REQUIERED
"Did you receive any withdrawals from an ABLE account? If yes, attach any Form(s) 1099-QA you received.",No,NOT REQUIERED
"Did you receive any withdrawals from an ABLE account? If yes, attach any Form(s) 1099-QA you received.",N/A,NOT REQUIERED
Did you receive any withdrawals from an ABLE account? ,N/A,NOT REQUIERED
Did you receive any withdrawals from an ABLE account? ,No,NOT REQUIERED
"Did you receive any unemployment or Family Leave Income in 2023? If so, please provide Form 1099-G or 1099-Misc.",No,NOT REQUIERED
"Did you receive any unemployment or Family Leave Income in 2023? If so, please provide Form 1099-G or 1099-Misc.",Yes,TC.MIS
"Did you receive any unemployment or Family Leave Income in 2023? If so, please provide Form 1099-G or 1099-Misc.",N/A,NOT REQUIERED
Did you receive any unemployment compensation during 2023? ,No,NOT REQUIERED
Did you receive any unemployment compensation during 2023? ,N/A,NOT REQUIERED
Did you receive any unemployment benefits during the year?,N/A,NOT REQUIERED
Did you receive any unemployment benefits during the year? ,Yes,TC.G99
Did you receive any unemployment benefits during the year? ,No,NOT REQUIERED
Did you receive any special unemployment benefits or compensation under the Coronavirus Relief Act during the year?,No,NOT REQUIERED
"Did you receive any payments from this pension, profit sharing or 401(k) plan in the prior year?",No,NOT REQUIERED
"Did you receive any pass-through income from S-corporations, partnerships, estates, or trusts?",Yes,TC.SK1
"Did you receive any pass-through income from S-corporations, partnerships, estates, or trusts?",No,NOT REQUIERED
"Did you receive any of the following IRS documents: Form 1095-A (Health Insurance Marketplace Statement), Form 1095-B (Health Coverage), or Form 1095-C (Employer Provided Health Insurance Offer & Coverage)?",Yes,TC.OTH
Did you receive any notifications or were you audited by the IRS or a State taxing agency?,Yes,TC.IRS
Did you receive any notifications or were you audited by the IRS or a State taxing agency?,N/A,NOT REQUIERED
Did you receive any notifications or were you audited by the IRS or a State taxing agency?,No,NOT REQUIERED
Did you receive any notices or correspondence from either the IRS or a State taxing agency?,Yes,TC.IRS
Did you receive any notices or correspondence from either the IRS or a State taxing agency?,No,NOT REQUIERED
Did you receive any notices or correspondence from either the IRS or a State taxing agency?,N/A,NOT REQUIERED
Did you receive any notices from the IRS or any state tax department after your 2022 tax return was filed that you have not already provided to me?  ,No,NOT REQUIERED
Did you receive any notices from the IRS or any state tax department after your 2022 tax return was filed that you have not already provided to me?  ,Yes,TC.IRS
"Did you receive any Medicaid waiver payments as ""difficulty of care"" during the year?",No,NOT REQUIERED
"Did you receive any lump-sum payments from a pension, profit sharing or 401(k) plan? ",No,NOT REQUIERED
"Did you receive any lump-sum payments from a pension, profit sharing or 401(k) plan? ",Yes,TC.IRA
"Did you receive any lump-sum payments from a pension, profit sharing or 401(k) plan? ",N/A,NOT REQUIERED
Did you receive any income considered to be nonemployee compensation?,Yes,TC.G99
Did you receive any income considered to be nonemployee compensation?,N/A,NOT REQUIERED
Did you receive any income considered to be nonemployee compensation?,No,NOT REQUIERED
Did you receive any income as an employee?,Yes,TC.WAG
"Did you receive any Health Coverage Tax Credit (HCTC) advance payments? If yes, attach any Form(s) 1099-H you received.",Yes,TC.OTH
"Did you receive any Health Coverage Tax Credit (HCTC) advance payments? If yes, attach any Form(s) 1099-H you received.",N/A,NOT REQUIERED
"Did you receive any Health Coverage Tax Credit (HCTC) advance payments? If yes, attach any Form(s) 1099-H you received.",No,NOT REQUIERED
"Did you receive any distributions or pay for tuition from a 529 account in 2023? If so, please upload your 1099-Q",Yes,TC.Q99
"Did you receive any distributions or pay for tuition from a 529 account in 2023? If so, please upload your 1099-Q",No,NOT REQUIERED
"Did you receive any distributions or pay for tuition from a 529 account in 2023? If so, please upload your 1099-Q",N/A,NOT REQUIERED
"Did you receive any distributions from an HSA? If so, were all distributions made for qualified medical expense?",N/A,NOT REQUIERED
"Did you receive any distributions from an HSA? If so, were all distributions made for qualified medical expense?",No,NOT REQUIERED
"Did you receive any distributions from an HSA? If so, were all distributions made for qualified medical expense?",Yes,TC.HSA
"Did you receive any distributions from a Health Savings Account (HSA), Archer MSA, or Medicare Advantage MSA this year? If yes, please upload Form 1099-SA",No,NOT REQUIERED
"Did you receive any distributions from a Health Savings Account (HSA), Archer MSA, or Medicare Advantage MSA this year? If yes, please upload Form 1099-SA",Yes,TC.HSA
"Did you receive any distributions from a Health savings account (HSA), Archer MSA, or Medicare Advantage MSA this year?",No,NOT REQUIERED
"Did you receive any distributions from a Health savings account (HSA), Archer MSA, or Medicare Advantage MSA this year?",N/A,NOT REQUIERED
"Did you receive any distributions from a Health savings account (HSA), Archer MSA, or Medicare Advantage MSA this year?",Yes,TC.HSA
Did you receive any distributions from a 529 Plan?,Yes,TC.Q99
Did you receive any distributions from a 529 Plan?,No,NOT REQUIERED
Did you receive any distributions from a 529 Plan?,N/A,NOT REQUIERED
"Did you receive any debt forgiveness , such as mortgage, credit card or student loans?",N/A,NOT REQUIERED
"Did you receive any debt forgiveness , such as mortgage, credit card or student loans?",No,NOT REQUIERED
Did you receive any correspondence from the IRS or a State taxing agency?,Yes,TC.CPA
"Did you receive any awards, prizes, hobby income, gambling or lottery winnings?",No,NOT REQUIERED
Did you receive any additional income this year that needs to be reported? For example a State relief payment or a legal settlement. ,Yes,TC.MIS
Did you receive any additional income this year that needs to be reported? For example a State relief payment or a legal settlement. ,No,NOT REQUIERED
Did you receive an IRS Identity Protection PIN? ,Yes,TC.CPA
