CPAQuestions,AnswerText,SelectedOptionId,OptionText,FormCategoryId,FirmId,Category Name,FormTypeID
Were you or your spouse notified by the IRS or other taxing authority of any changes in prior year returns? ,NULL,2,No,1853,776,1099-C,0
"Did you or your spouse rollover any amount from a retirement plan, annuity plan, tax shelter annuity, or deferred compensation plan to another retirement plan (excluding any items you've already uploaded)?",NULL,2,No,1851,2386,Foreign Bank Account,0
"If applicable, did you or your spouse receive unemployment compensation?",NULL,3,N/A,1831,2561,Contracts,0
"Did you or your spouse pay for child care while you worked, looked for work, or were a full-time student?",NULL,3,N/A,1863,2557,Unreimbursed Business Expenses,0
Did you receive any unemployment benefits during the year? ,NULL,2,No,1831,1870,Contracts,0
"Did you pay estimated taxes for tax year 2023? If yes, please upload documentation of the estimated tax payments.",NULL,2,No,1895,1955,Loan Closing Statement,0
Did you or your spouse attend classes or a trade school?,NULL,2,No,1288,2529,1095-B (Health Coverage),21319
"Did you or your spouse receive income from a Corporation, Partnership, Trust, or Estate? ",NULL,1,Yes,1251,2529,Letters,20424
"Did you or your spouse receive non-employee compensation during the year? If yes, please upload the Form 1099-NEC along with a summary of relevant business expenses incurred to generate the income.",NULL,2,No,1857,702,Estimated Payment Supporting Documents,0
"Did you, your spouse, or a dependent incur any tuition expenses that are required to attend a college, university, or vocational school? If so, please provide a detailed list of your expenditures and a copy of the 1098-T form from the university.",NULL,3,N/A,1864,1888,PPP Loan Details,0
"Other Information - Do any of your dependents require a filed tax return, AND do you intend on having Ellingson & Ellingson prepare the filing? (""Yes"" if both are true)",NULL,1,Yes,1834,2295,"New Income Source (W2, 1099, K1)",0
Did you purchase or sell your primary residence?,NULL,3,N/A,1837,2502,529/Coverdell Year End Statement ,0
"Did you receive a distribution from a Qualified Tuition Program or an Education Savings Account? If so, please provide the tax form in the document section. ",NULL,2,No,1833,2306,Energy Efficient Improvements (Manufacturer's Certificate Statement/Receipt of purchase) ,0
"Were you or your spouse if applicable assigned an Identity Protection PIN (IP PIN) by the IRS?  If so, the IRS provides the number via a letter sent in January of each year OR through your IRS online account.  .  This number changes ANNUALLY and the return cannot be electronically filed without  it.",NULL,1,Yes,1891,1519,Adoption Expenses,0
Did you pay mortgage interest?,NULL,1,Yes,1875,1458,Home Purchase Disclosure,0
"Did you pay real estate taxes during the tax year? If yes, please provide documentation for the amount paid.",NULL,1,Yes,1883,2552,1099-G Unemployment Compensation,0
"LONG TERM CARE: Did you/spouse receive any distributions from long-term care insurance contracts?  If so, please upload corresponding Form 1099-LTC.",NULL,3,N/A,3192,377,0,0
"Did you sell, exchange, or purchase any other real estate during the year?",NULL,2,No,1837,2635,529/Coverdell Year End Statement ,0
Did you make cash contributions to a qualified US organization/charity? ,NULL,3,N/A,1886,1033,Other Tax Payments,0
Did you or your spouse make a withdrawal from an HSA?,NULL,3,N/A,1844,2315,Rental Income & Expenses (Per Property),0
Did you work for an employer this year?,NULL,2,No,1848,1570,Voided Check,0
"Did you or your children attend college during 2023? If so, please provide the Form 1098T, PLUS a copy of the ledger of expenses paid which you can print from your college account.",NULL,2,No,1864,2291,PPP Loan Details,0
"Did you or your spouse make any large retail purchases (cars, boats, etc.)?",NULL,1,Yes,1884,2131,Federal Tax Payments,0
"Did you, your spouse, or a dependent obtain healthcare coverage through Marketplace?",NULL,2,No,1859,2274,Business auto usage,0
Did you or your spouse receive interest or dividends?,NULL,3,N/A,1849,2205,Estimated Tax Payments,0
"Did you pay estimated taxes for tax year 2023? If yes, please upload documentation of the estimated tax payments.",NULL,1,Yes,1895,756,Loan Closing Statement,0
"Did you or your spouse have income and expenses from rental real estate activities? If yes, please upload a summary of rental income and relevant expense incurred to generate the income.",NULL,3,N/A,1852,702,Form 8332,0
"Did you, your spouse, or any dependent(s) receive Health Insurance Marketplace Statement Form 1095-A? If yes please upload it with your documents.",NULL,2,No,1859,1906,Business auto usage,0
Itemized Deductions - Did you refinance your primary residence?,NULL,3,N/A,1837,2295,529/Coverdell Year End Statement ,0
"Please provide evidence such as a receipt from the donee organization, a canceled check, or record of payment, to substantiate all contributions made.",NULL,3,N/A,1886,1879,Other Tax Payments,0
Do you use the space in your home exclusively and regularly for administrative or management activities of your business?,NULL,1,Yes,1870,1951,Taxpayer's Driver License,0
Did you or your spouse receive any foreign income or pay any foreign taxes?  *This does not include foreign income received from accounts managed by Exencial.,NULL,1,Yes,1866,1574,Identity Protection PIN (IP PIN) Letter,0
Did you or your spouse receive any distributions from a Health savings account (HSA)?,NULL,1,Yes,1844,2283,Rental Income & Expenses (Per Property),0
Do you pay long term care insurance premiums?  ,NULL,1,Yes,1881,2402,Form 3921 - Exercise of Incentive Stock Options,0
"Did you pay estimated taxes for tax year 2023? If yes, please upload documentation of the estimated tax payments.",NULL,2,No,1895,2530,Loan Closing Statement,0
Did you purchase or sell your primary residence?,NULL,2,No,1837,1732,529/Coverdell Year End Statement ,0
"Did you pay estimated taxes for tax year 2023? If yes, please upload documentation of the estimated tax payments.",NULL,1,Yes,1895,15,Loan Closing Statement,0
"Were you or your spouse grantor or transferor for a foreign trust, have any interest in or a signature authority over a bank account, securities account or other financial account in a foreign country?",NULL,3,N/A,1889,1574,529 Contribution Documentation,0
Did you receive a distribution from a health savings account (HSA) or medical savings account (MSA)?,NULL,1,Yes,1844,1574,Rental Income & Expenses (Per Property),0
Did you or your spouse pay any student loan interest this year?,NULL,2,No,1845,1766,Unemployment (1099-G),0
"Do you have a home equity loan, or did you take out a new home equity loan this year?",NULL,3,N/A,2965,2330,Stock Sales Supplement Form From Institution (RSU/ISO/ESPP),0
"Did you receive Form 1099-S for the sale of your home? If so, please upload a copy. ",NULL,3,N/A,3203,377,0,0
"DEBTS: Did you/spouse have any debts canceled, forgiven or refinanced (other than mortgage loan refinance) in 2023? If so, upload documentation such as Form 1099-C.",NULL,2,No,3185,377,Business Forms W-3,0
"Did you convert a traditional IRA to a Roth IRA during the year? If yes, please upload all Forms 1099-R related to the conversion and Forms 5498 for all IRA accounts (regular and Roth IRA).",NULL,1,Yes,1851,702,Foreign Bank Account,0
"Did you have any educational expenses during the year on behalf of yourself, your spouse or your dependent(s)?",NULL,2,No,1864,2702,PPP Loan Details,0
"Did you or your spouse exercise any stock options or sell, gift or donate any ESPP shares?  Please provide all Forms 1099-B, 3921, 3922, and stock plan transactions supplement report. ",NULL,2,No,1854,1389,1099-G,0
Did you or your spouse receive any Miscellaneous Income? ,NULL,1,Yes,1255,2529,Child Care Expenses,25238
Were you or your spouse notified or audited by the IRS or a State taxing agency?,NULL,3,N/A,1853,2012,1099-C,0
Did you take any distributions from an education saving plan such as a 529?,NULL,2,No,1833,1977,Energy Efficient Improvements (Manufacturer's Certificate Statement/Receipt of purchase) ,0
"If not applicable, did you or your spouse receive employment certificate?",NULL,1,Yes,1840,114,Vehicle/Boat Donation (1098-C),0
"DEPENDENTS: Did you adopt a child or begin adoption proceedings and pay adoption fees, court costs, attorney fees, and other expenses that are directly related to a legal adoption?   If so, upload related documentation.",NULL,2,No,3183,377,Form 3922 (Transfer of stock),0
"Did you pay estimated taxes for tax year 2023? If yes, please upload documentation of the estimated tax payments.",NULL,1,Yes,1895,935,Loan Closing Statement,0
Did your spouse work for an employer this year?,NULL,2,No,1848,1570,Voided Check,0
"Did you pay estimated taxes for tax year 2023? If yes, please upload documentation of the estimated tax payments.",NULL,2,No,1895,3,Loan Closing Statement,0
Did you receive an IRS Identity Protection PIN? ,NULL,1,Yes,1891,2306,Adoption Expenses,0
"Please upload your bank name, bank account # and the routing number of your banking institution.  Please indicate if this a checking or savings account. ",NULL,3,N/A,1854,2553,1099-G,0
Did you make any contributions to or withdrawals from a 529 Plan account in the year?,NULL,3,N/A,1862,1437,Closing Statement,0
"You indicated retirement contributions or distributions for this year. Did you or your spouse receive payment from retirement, or severance compensation?",NULL,1,Yes,1851,2593,Foreign Bank Account,0
"Did you sell an existing business, rental, or other property this year?",No,2,No,1260,1,Non-Cash Contributions,20433
"Did you, your spouse, or dependent received healthcare coverage through the Marketplace?",NULL,1,Yes,1859,1971,Business auto usage,0
"Did you take any distributions from an HSA in 2023?  (Unless you tell us otherwise, all distributions will be assumed to have been used for qualified medical expenses.)",NULL,1,Yes,1844,2025,Rental Income & Expenses (Per Property),0
"Did you take any distributions from an HSA in 2023?  (Unless you tell us otherwise, all distributions will be assumed to have been used for qualified medical expenses.)",NULL,2,No,1844,2025,Rental Income & Expenses (Per Property),0
"Did you incur moving expenses? If yes, please upload documentation of the expenses incurred related to the relocation.",NULL,1,Yes,1841,1574,IRS/State Notices,0
"Did you, your spouse, or any dependent receive healthcare coverage through Marketplace this year?",NULL,2,No,1859,2557,Business auto usage,0
"Did you pay estimated taxes for tax year 2023? If yes, please upload documentation of the estimated tax payments.",NULL,2,No,1895,3,Loan Closing Statement,0
"Did you sell, exchange, or purchase any real estate during the year?",NULL,2,No,1837,1472,529/Coverdell Year End Statement ,0
"Other Information - Do any of your dependents require a filed tax return, AND do you intend on having Ellingson & Ellingson prepare the filing? (""Yes"" if both are true)",NULL,3,N/A,1834,2295,"New Income Source (W2, 1099, K1)",0
"Did you incur moving expenses? If yes, please upload documentation of the expenses incurred related to the relocation.",NULL,2,No,1841,114,IRS/State Notices,0
Did you receive any unemployment benefits during the year?,NULL,2,No,1831,1484,Contracts,0
"Did you purchase or sell your primary residence?  If ""Yes"", please send HUD settlement statement from sale or purchase.",NULL,2,No,3099,708,"QUARTERLY TAX PAYMENTS: Please enter all estimated tax payments you made for the previous tax year. Please indicate the Jurisdiction and time period for each payment (Q2 Federal, Q3 Georgia, etc.)",0
"Did you make any cash or noncash charitable contributions (clothes, furniture, etc.)? If yes, please provide evidence such as a receipt from the donee organization, a canceled check, or record of payment, to substantiate all contributions made.",NULL,1,Yes,1886,2490,Other Tax Payments,0
Did you open any new bank or brokerage accounts in 2023?,NULL,1,Yes,1849,2627,Estimated Tax Payments,0
"Did you receive any distributions from a Health Savings Account (HSA), Archer MSA, or Medicare Advantage MSA this year?",NULL,3,N/A,1844,1164,Rental Income & Expenses (Per Property),0
Did you make any charitable contributions (cash or property) during the year?,NULL,1,Yes,1886,2131,Other Tax Payments,0
"please include all Forms 1099-Q and provide the following:  Name of designated beneficiary, state sponsoring plan, 2023 contribution , 2023 distribution",NULL,1,Yes,1833,2324,Energy Efficient Improvements (Manufacturer's Certificate Statement/Receipt of purchase) ,0
"Did you or your spouse have any canceled, forgiven, or partially forgiven debt? ",NULL,2,No,2836,2529,Adoption Expenses and Details,0
Question 1,NULL,2,No,1848,15,Voided Check,0
"Did you or your spouse receive an IP PIN Letter from the IRS? If so, please provide it to us. Without this form, you will be unable to efile. (*Note that if you use an IP PIN, you will receive a NEW PIN annually)  **You and your spouse might EACH receive a PIN - please provide BOTH if this is the case.",NULL,2,No,1854,1906,1099-G,0
Did you purchase or sell your primary residence?,NULL,1,Yes,1836,1447,"Cyrpto Transaction(s) Detail  (Form 8949, Excel spreadsheet of transactions,  Schedule D)",0
"Did you incur moving expenses? If yes, please upload documentation of the expenses incurred related to the relocation.",NULL,2,No,1841,2450,IRS/State Notices,0
Did you refinance a mortgage during 2023?,NULL,3,N/A,1854,2188,1099-G,0
Did you or your spouse make any charitable cash donations?,NULL,1,Yes,1886,1574,Other Tax Payments,0
"Have you received any tax notices from any taxing authorities during the year?  If yes, please upload copies of the notices to the ""Document Request List.""  (if you have not already provided to your accountant)",NULL,1,Yes,3025,725,1099-S Proceeds from Real Estate transaction,0
Mortgage Interest - Did you or your spouse take out a home equity loan this year?,NULL,3,N/A,1837,2680,529/Coverdell Year End Statement ,0
"Did you or your spouse receive income through any of the following methods: bartering transaction, tips, prize money, gambling winnings, etc.?",NULL,2,No,1832,441,1099-G (Unemployment Income),0
Did you or your spouse take out a home equity loan/HELOC this year?,NULL,1,Yes,1837,2464,529/Coverdell Year End Statement ,0
"If applicable, did you or your spouse receive unemployment compensation?  If so, please provide 1099-G.",NULL,2,No,1854,2509,1099-G,0
"Did you pay estimated taxes for tax year 2023? If yes, please upload documentation of the estimated tax payments.",NULL,2,No,1895,2591,Loan Closing Statement,0
"Did you have a financial interest in or signature authority over a financial account such as a bank account, securities account, or brokerage account, located in a foreign country?",NULL,2,No,1889,1870,529 Contribution Documentation,0
"Did you or your spouse install any energy efficiency improvement or energy property in your residence such as exterior doors or windows, insulation, heat pumps, furnaces, central air conditioners, or water heaters?",NULL,2,No,1862,2509,Closing Statement,0
Did you pay federal and state estimates?,NULL,3,N/A,1895,2591,Loan Closing Statement,0
Did you refinance your primary residence or take out a home equity loan?,NULL,3,N/A,1837,2530,529/Coverdell Year End Statement ,0
"Did you receive an Identity Protection PIN (IP PIN) from the IRS or have you been a victim of identity theft? If yes, attach the IRS letter for filing returns in 2023.",NULL,2,No,1891,2573,Adoption Expenses,0
"Did you incur moving expenses? If yes, please upload documentation of the expenses incurred related to the relocation.",NULL,2,No,1841,247,IRS/State Notices,0
Has your bank account information changed?,NULL,2,No,1854,2648,1099-G,0
"Did you or your spouse have any debts which you owed that were canceled or forgiven including foreclosures?  If so, provide 1099-C or other documentation.",NULL,2,No,1854,2509,1099-G,0
Do you have an IP PIN? (https://www.irs.gov/identity-theft-fraud-scams/retrieve-your-ip-pin),NULL,1,Yes,3050,1458,529 / Education Account Year-End Statement,0
"If yes, please provide closing statement.",NULL,1,Yes,1854,663,1099-G,0
Did you or your spouse make any gifts or contributions to any one entity or individual?,NULL,1,Yes,1886,2561,Other Tax Payments,0
"Did you receive any distributions from an HSA? If so, were all distributions made for qualified medical expense?",NULL,2,No,1844,1395,Rental Income & Expenses (Per Property),0
Did you utilize any portion of your home exclusively for business use?,NULL,2,No,1870,2484,Taxpayer's Driver License,0
Did you or your spouse pay any student loan interest this year?,NULL,1,Yes,1845,707,Unemployment (1099-G),0
"Loan Forgiveness - Did you have any debts forgiven or cancelled, including credit cards or other debt?",NULL,3,N/A,1854,2680,1099-G,0
Please provide us with information about this.,NULL,1,Yes,1889,1574,529 Contribution Documentation,0
Was the insurance provided from Covered California or other government marketplace?,NULL,2,No,1859,2635,Business auto usage,0
Other Deductions - Did you or your spouse pay any student loan interest this year?,NULL,2,No,1845,2295,Unemployment (1099-G),0
Did you donate a vehicle or a boat?,NULL,2,No,1886,2428,Other Tax Payments,0
"Did you or your spouse receive payment from retirement plan this year? If so, provide IRS Form(s) 1099-R.",NULL,3,N/A,1851,1099,Foreign Bank Account,0
"DEPENDENTS: Did you adopt a child or begin adoption proceedings and pay adoption fees, court costs, attorney fees, and other expenses that are directly related to a legal adoption?   If so, upload related documentation.",NULL,3,N/A,3183,377,Form 3922 (Transfer of stock),0
"Is 2023 the first year of attendance or are there any new attendance(s) that began after 2022? If yes, please provide documentation provided by the school or institution that details tuition, scholarships or other expenses)",NULL,1,Yes,1864,2080,PPP Loan Details,0
"Did you incur moving expenses? If yes, please upload documentation of the expenses incurred related to the relocation.",NULL,3,N/A,1841,2441,IRS/State Notices,0
"Did you or your spouse pay any individual $2,600 or more in household employee wages?",NULL,1,Yes,1858,2377,Crypto,0
"Did you or your spouse rollover any amount from a retirement plan, annuity plan, tax shelter annuity, or deferred compensation plan to another retirement plan?",NULL,2,No,1249,2529,Settlement Statements,203910
"Did you pay out-of-pocket medical expenses (co-pays, prescription drugs, eyeglasses, dental, etc.)?",NULL,2,No,1881,2702,Form 3921 - Exercise of Incentive Stock Options,0
Did you or your spouse pay any student loan interest this year?,NULL,1,Yes,1845,2205,Unemployment (1099-G),0
"Did you make any cash or noncash charitable contributions (clothes, furniture, etc.)?",NULL,2,No,1886,2388,Other Tax Payments,0
"Did you incur moving expenses? If yes, please upload documentation of the expenses incurred related to the relocation.",NULL,1,Yes,1841,2373,IRS/State Notices,0
Did you have any new sources of income last year that you've not had in previous years?,NULL,1,Yes,2713,2289,Real Estate Purchase,0
"Did you or your spouse sell, exchange or purchase any real estate?  ",NULL,1,Yes,1837,721,529/Coverdell Year End Statement ,0
"Did you pay estimated taxes for tax year 2023? If yes, please upload documentation of the estimated tax payments.",NULL,2,No,1895,2283,Loan Closing Statement,0
"Did you pay estimated taxes for tax year 2023? If yes, please upload documentation of the estimated tax payments.",NULL,1,Yes,1895,2648,Loan Closing Statement,0
"Did you, your spouse, or any dependent receive healthcare coverage through the Marketplace (i.e. MNSure) in 2023?",NULL,2,No,1859,1934,Business auto usage,0
Did you or your spouse buy or sell stocks or mutual funds? ,NULL,2,No,1247,2529,1099-MISC (Misc. Income),2059400
Did you or your spouse have any transactions pertaining to a medical savings account (MSA)?,NULL,1,Yes,1844,484,Rental Income & Expenses (Per Property),0
"Did you or your spouse contribute to a retirement plan (401(k), IRA, SEP, SIMPLE, or any other retirement plan) this year?",NULL,1,Yes,1838,1395,Electric Vehicle (Manufacturer's certification and bill of sale),0
"Did you contribute money to a state 529 plan in your resident state?  (IL - Bright Start, Bright Directions, College Illinois)  If yes, please provide backup documentation.",NULL,2,No,3103,708,COLLEGE SAVINGS: Please provide documentation or amounts of contributions made to college savings plans such as 529 plans.,0
"Did you or your spouse start or purchase a business or farm, purchase rental or royalty property, or acquire an interest in a partnership, S corporation, trust, or REMIC?",NULL,3,N/A,1892,441,Settlement Statement (HUD) ,0
"Did you pay any real estate taxes for your primary and/or secondary home(s) that are not already reported on your Form 1098, if applicable?",NULL,3,N/A,1883,2502,1099-G Unemployment Compensation,0
"Were you or your spouse the grantor of, or transferor to, a foreign trust that existed during 2023, whether or not you had any beneficial interest in it?",NULL,2,No,1865,1574,Documents for dependent or other person,0
"Did you or your spouse receive income through any of the following methods (bartering transaction, tips, prize money, gambling winnings, etc.)?",NULL,2,No,1835,2680,Cancelled/Forgiven Debt (1099-C),0
Did you purchase or sell your primary residence during the year?,NULL,2,No,1836,2509,"Cyrpto Transaction(s) Detail  (Form 8949, Excel spreadsheet of transactions,  Schedule D)",0
"Did you pay estimated taxes for tax year 2023? If yes, please upload documentation of the estimated tax payments.",NULL,1,Yes,1895,1808,Loan Closing Statement,0
"Did you pay estimated taxes for tax year 2023? If yes, please upload documentation of the estimated tax payments.",NULL,3,N/A,1895,15,Loan Closing Statement,0
"Did you incur moving expenses? If yes, please upload documentation of the expenses incurred related to the relocation.",NULL,2,No,1841,1740,IRS/State Notices,0
Did you incur any medical expenses that may exceed 7.5% of your estimated aggregate adjusted gross income during the year?,NULL,3,N/A,1881,1099,Form 3921 - Exercise of Incentive Stock Options,0
Education Expenses - Did you make any withdrawals from an education savings plan or a 529 Plan Account?,NULL,3,N/A,1833,2680,Energy Efficient Improvements (Manufacturer's Certificate Statement/Receipt of purchase) ,0
"Did you engage in any of the following in crypto activities in 2022: (A) Sold cryptocurrency (or NFTs) and received cash, or traded cryptocurrency (or NFTs) for another cryptocurrency (or NFTs); (B) Spent cryptocurrency to purchase goods or services; (C) Received cryptocurrency through wages, interest income, airdrops, hard forks, mining or other rewards; (D) Received and/or sent cryptocurrency as a gift; (E) Purchased cryptocurrency using USD/EUR/OTHER; (F) Transferred cryptocurrency between your own wallets & exchange accounts; (G) Disposed of ""financial interest"" in digital assets?",NULL,2,No,1854,2085,1099-G,0
"Did you incur moving expenses? If yes, please upload documentation of the expenses incurred related to the relocation.",NULL,2,No,1841,2482,IRS/State Notices,0
"Did you or your spouse receive deferred, retirement, or severance compensation?",NULL,1,Yes,1851,1408,Foreign Bank Account,0
Did you open up a new investment account in 2023,NULL,2,No,1849,2518,Estimated Tax Payments,0
"Did you or your spouse rollover any amount from a retirement plan, annuity plan, tax shelter annuity, or deferred compensation plan to another retirement plan?",NULL,2,No,1893,1678,"Other Income (bartering transactions, tips, prize money, gambling winnings)",0
Did you or your spouse receive Social Security Income? ,NULL,1,Yes,1253,2529,IRS Notices,20355
Was your coverage through the Marketplace?,NULL,2,No,1859,1164,Business auto usage,0
Did you take a distribution from an education savings account or 529 plan during the year?,NULL,1,Yes,1833,2432,Energy Efficient Improvements (Manufacturer's Certificate Statement/Receipt of purchase) ,0
Did you utilize any portion of your home for business use?,NULL,1,Yes,1870,1574,Taxpayer's Driver License,0
"Did you incur moving expenses? If yes, please upload documentation of the expenses incurred related to the relocation.",NULL,1,Yes,1841,1953,IRS/State Notices,0
Did you pay any mortgage interest on an existing home loan?,NULL,1,Yes,1882,2085,1099-K - Payment Card and Third Party Network Transactions,0
Were you or your spouse notified or audited by the IRS or a State taxing agency?,NULL,2,No,1853,214,1099-C,0
Please provide Form 1099-B.,NULL,1,Yes,1849,2085,Estimated Tax Payments,0
"Did you receive payment from a pension or profit sharing plan this year or expect to receive any payment next year? If yes, please upload documentation.",NULL,3,N/A,1851,702,Foreign Bank Account,0
"DEBTS: Did you/spouse have any debts canceled, forgiven or refinanced (other than mortgage loan refinance) in 2023? If so, upload documentation such as Form 1099-C.",NULL,1,Yes,3185,377,Business Forms W-3,0
Do you own rental property?,NULL,1,Yes,1852,2131,Form 8332,0
Did you purchase or sell your primary residence?,NULL,2,No,1837,2530,529/Coverdell Year End Statement ,0
Did you or your spouse make any gifts or contributions to any one entity or individual?,NULL,3,N/A,1886,2326,Other Tax Payments,0
Other Income - Did you or your spouse perform any work outside of the US?,NULL,2,No,1866,2295,Identity Protection PIN (IP PIN) Letter,0
"Did you or your spouse pay any individual $2,600 or more in household employee wages?",NULL,2,No,1858,2377,Crypto,0
Did you or your spouse pay any student loan interest this year?,NULL,2,No,1840,2634,Vehicle/Boat Donation (1098-C),0
"Did you purchase a vehicle that may qualify for the New, Previoulsy Owned and Qualified Commercial Clean Vehicle Credit? If yes, please submit purchase contract - this is a special document from the dealer called ""seller report,"" ""time of sale report,"" or similar. Note that vehicles purchased from a private party do not qualify",NULL,3,N/A,1916,2011,1099-G (Unemployment Compensation),0
Did you or your spouse pay any student loan interest this year?,NULL,2,No,1845,2205,Unemployment (1099-G),0
"Did you or your spouse rollover any amount from a retirement plan, annuity plan, tax shelter annuity, or deferred compensation plan to another retirement plan?",NULL,1,Yes,1893,1678,"Other Income (bartering transactions, tips, prize money, gambling winnings)",0
Did you purchase or sell your primary residence?,NULL,1,Yes,1260,2011,Non-Cash Contributions,20433
Did you start a self employed business venture in 2022,NULL,1,Yes,1850,1574,1098-T (Education),0
"Did you pay estimated taxes for tax year 2023? If yes, please upload documentation of the estimated tax payments.",NULL,1,Yes,1895,892,Loan Closing Statement,0
"Other Credits - Did you or your spouse pay for child care while you worked, looked for work, or were a full-time student?",NULL,1,Yes,1863,2295,Unreimbursed Business Expenses,0
Did you or your spouse make any cash charitable donations?  ,NULL,1,Yes,1886,1574,Other Tax Payments,0
Did you or your spouse take out a home equity loan this year?,NULL,1,Yes,702,2571,1098s (Home Mortgage Interest),204440
"Did you make a contribution to, or receive a distribution from,  a retirement plan (401(k), IRA, SEP, SIMPLE, Qualified Plan, etc. for 2023?   If you want to make a contribution for 2023,  it must be made before 4/15/2024.",NULL,1,Yes,1851,1395,Foreign Bank Account,0
"Did you receive a distribution from, or were you the grantor of, or transferor to, a foreign trust or did you have an interest in any foreign bank accounts or assets?",NULL,1,Yes,1890,1395,ABLE Account 1099QA / 5498-QA,0
"Did you engage in any of the following in crypto activities in 2023: (A) Sold cryptocurrency (or NFTs) and received cash, or traded cryptocurrency (or NFTs) for another cryptocurrency (or NFTs); (B) Spent cryptocurrency to purchase goods or services; (C) Received cryptocurrency through wages, interest income, airdrops, hard forks, mining or other rewards; (D) Received and/or sent cryptocurrency as a gift; (E) Purchased cryptocurrency using USD/EUR/OTHER; (F) Transferred cryptocurrency between your own wallets & exchange accounts; (G) Disposed of ""financial interest"" in digital assets?",NULL,2,No,1836,2306,"Cyrpto Transaction(s) Detail  (Form 8949, Excel spreadsheet of transactions,  Schedule D)",0
Please upload a receipt of purchase with a description and/or provide details of the improvements.,NULL,1,Yes,1862,1008,Closing Statement,0
Did you or your spouse have any transactions pertains to a health savings account (HSA) or medical savings account (MSA)?,NULL,1,Yes,1844,2675,Rental Income & Expenses (Per Property),0
Did you pay mortgage interest or property taxes on your primary residence this year?,NULL,3,N/A,1875,2635,Home Purchase Disclosure,0
"Do (did) you have an IP PIN? If you had one last year, you must get a new one every year (https://www.irs.gov/identity-theft-fraud-scams/retrieve-your-ip-pin)",NULL,1,Yes,3050,1458,529 / Education Account Year-End Statement,0
Did you foreclose or abandon a primary residence or real property?,NULL,1,Yes,1854,1437,1099-G,0
"Did you pay estimated taxes for tax year 2023? If yes, please upload documentation of the estimated tax payments.",NULL,1,Yes,1895,15,Loan Closing Statement,0
Do you or your spouse have a Health Savings Account?,NULL,1,Yes,1844,1389,Rental Income & Expenses (Per Property),0
Did you refinance your primary residence?,NULL,3,N/A,1875,2635,Home Purchase Disclosure,0
"GIFTING: Did you/spouse make any gifts to a trust for any amount?  If so, upload a copy of the complete trust instrument and provide details of the gift(s).",NULL,3,N/A,3181,377,Virtual Currency,0
"Did you purchase or sell your primary or secondary residence? If yes, please provide the closing statement and 1099-S if received.",NULL,1,Yes,2965,2330,Stock Sales Supplement Form From Institution (RSU/ISO/ESPP),0
"Did you start a business or farm, purchase rental or royalty property, or acquire an interest in a partnership, S corporation, trust, or REMIC?",NULL,2,No,1892,2085,Settlement Statement (HUD) ,0
Did you enroll for lower cost Marketplace Coverage through healthcare.gov under the Affordable Care Act?,NULL,1,Yes,1859,2484,Business auto usage,0
"If you are divorced or separated with child(ren), do you have a divorce decree or other form of separation agreement which establishes custodial responsibilities?",NULL,2,No,1854,2484,1099-G,0
Did you refinance your primary residence or any other real estate properties?,NULL,2,No,1837,2585,529/Coverdell Year End Statement ,0
"Did you sell, exchange, or purchase any other real estate during the year? If yes, a request to upload the documents of the purchase or sale will appear in the ""Documents"" section of TaxCaddy.",NULL,1,Yes,1837,2080,529/Coverdell Year End Statement ,0
Did you or your spouse incur any expenses due to the adoption of a child?,NULL,2,No,3055,2131,UNEMPLOYMENT: Please provide your 1099-G received for Unemployment Compensation,0
"Did you or your spouse receive payment from a retirement (401(k), IRA, SEP, SIMPLE, or any other retirement plan) this year?",NULL,1,Yes,1851,2635,Foreign Bank Account,0
"Did you or your spouse receive proceeds on the sale of investments or other property during the year? If yes, please upload all Forms 1099-B or consolidated 1099 from your broker.",NULL,1,Yes,1849,702,Estimated Tax Payments,0
"Did you or your spouse make any large retail purchases (cars, boats, etc.)?",NULL,3,N/A,1837,2502,529/Coverdell Year End Statement ,0
Did you purchase or sell your primary residence?,NULL,2,No,1837,2680,529/Coverdell Year End Statement ,0
Did you or your spouse make cash or non-cash charitable contributions?,NULL,3,N/A,1886,2509,Other Tax Payments,0
Did you utilize any portion of your home for business use?,NULL,1,Yes,1870,2593,Taxpayer's Driver License,0
Did you obtain healthcare coverage through the Marketplace? (Note:  This does not include Medicare),NULL,2,No,1859,1574,Business auto usage,0
Did you buy a rental or flip?,NULL,1,Yes,1837,2557,529/Coverdell Year End Statement ,0
"Did you incur moving expenses? If yes, please upload documentation of the expenses incurred related to the relocation.",NULL,1,Yes,1841,1123,IRS/State Notices,0
Did you obtain healthcare coverage through the Marketplace? (Note:  This does not include Medicare),NULL,1,Yes,1859,1574,Business auto usage,0
Did you or your spouse make any non-cash contributions during the year?,NULL,3,N/A,1887,2502,State and Local Notices,0
"Did you purchase or sell your primary residence? If yes, please provide documentation of the purchase or sale. ",NULL,1,Yes,1837,2080,529/Coverdell Year End Statement ,0
Did you receive any distributions from a 529 Plan?,NULL,3,N/A,1833,2402,Energy Efficient Improvements (Manufacturer's Certificate Statement/Receipt of purchase) ,0
Did you or your spouse withdraw any amounts from a Coverdell Education Savings Account or Qualified Education Program (Section 529) plan?,NULL,2,No,1833,2131,Energy Efficient Improvements (Manufacturer's Certificate Statement/Receipt of purchase) ,0
"Did you or your spouse sell, exchange, or purchase any real estate?",NULL,2,No,1837,2552,529/Coverdell Year End Statement ,0
