CPAQuestions,SelectedOptionId,FormCategoryId,Category Name
Did you or your spouse pay any student loan interest this year?,2,0,Not Required
"Did you or your spouse pay for child care while you worked, looked for work, or were a full-time student?",2,0,Not Required
"Did you pay estimated taxes for tax year 2023? If yes, please upload documentation of the estimated tax payments.",1,1895,Loan Closing Statement
"Did you have any new brokerage or investment accounts? If so, please provide the 1099 forms. ",3,0,Not Required
"Did you or your spouse receive dividend income during the year? If yes, please upload all Forms 1099-DIV or consolidated 1099 from your broker.",1,1849,Estimated Tax Payments
Did you or your spouse start a new sole proprietorship or single-member LLC in 2023?,1,1850,1098-T (Education)
Did you utilize any portion of your home for business use? ,1,1870,Taxpayer's Driver License
"Were you or your spouse the beneficiary of an estate, trust or ABLE account?",1,1892,Settlement Statement (HUD) 
"Did you or your spouse make any gifts (other than qualified charitable contributions captured above) to any one entity or individual?  If yes, please upload a listing of amounts and recipients.  We will review and advise whether a gift tax return is required.",3,0,Not Required
Did you or your spouse own any foreign financial assets?,1,1890,ABLE Account 1099QA / 5498-QA
"Did you incur moving expenses? If yes, please upload documentation of the expenses incurred related to the relocation.",1,1841,IRS/State Notices
Did you pay any mortgage interest on an existing home loan? ,2,0,Not Required
Did you or your spouse receive Social Security Income? ,2,0,Not Required
Did you refinance your primary residence?,1,1837,529/Coverdell Year End Statement 
"If Yes, did you obtain healthcare coverage through the Marketplace?",2,0,Not Required
"Did you or your spouse rollover any amount from a retirement plan, annuity plan, tax shelter annuity, or deferred compensation plan to another retirement plan?",2,0,Not Required
Did you or our spouse contribute any amounts to a Coverdell Education Savings Account or Qualified Education Program (Section 529) plan?,2,0,Not Required
Did you receive form 1095-A (Health Insurance Marketplace Statement)?,2,0,Not Required
Did you or your spouse receive any foreign income or pay any foreign taxes? *This does not include foreign income received from accounts managed by Exencial.,3,0,Not Required
"Did you sell, exchange, or purchase any other real estate during the year?",1,1837,529/Coverdell Year End Statement 
"Did you, your spouse, or your dependents incur any post-secondary education expenses, such as tuition?",1,1864,PPP Loan Details
Did you purchase or sell your primary residence?,1,1837,529/Coverdell Year End Statement 
"Did you, your spouse, or any dependent receive healthcare coverage through Marketplace this year?",1,1859,Business auto usage
Did you pay for or receive long-term care for yourself or your family?,2,0,Not Required
Did you or your spouse withdraw any funds from a Health Savings Account (HSA)? ,1,1844,Rental Income & Expenses (Per Property)
"Did you or your spouse make payment to a retirement plan (401(k), IRA, SEP, SIMPLE, or any other retirement plan) this year?",2,0,Not Required
Did you pay mortgage interest?,2,0,Not Required
"Did you sell, exchange, or purchase any other real estate during the year (2nd home, investment property, land, etc)?",2,0,Not Required
Did you or your spouse buy or sell stocks or mutual funds? ,1,1247,1099-MISC (Misc. Income)
Did you or your spouse pay any individual $2600 or more in household employee wages?,2,0,Not Required
"OTHER PROPERTIES OWNED: Did you BUY any real estate in 2023, including your primary/secondary residence or other properties? If so, please upload a copy of the purchase closing statement.",3,0,Not Required
Did you or your spouse have a home equity loan outstanding during the year?,2,0,Not Required
Did you or your spouse contribute to a 529 College Savings Plan or Coverdell ESA Plan last year? ,2,0,Not Required
Did you or your spouse have any gambling winnings?,2,0,Not Required
Did you receive interest or dividend income from non-U.S. sources,1,721,Foreign Information
Did you purchase or sell your primary residence?,2,0,Not Required
"Is this your first year receiving Social Security Benefits? If yes, a request to upload the Social Security statements will appear in the ""Documents"" section of TaxCaddy.",2,0,Not Required
"Did you or your spouse receive payment from a retirement (401(k), IRA, SEP, SIMPLE, or any other retirement plan) during 2023? ",2,0,Not Required
Did you or your spouse receive a distribution from a pension or profit sharing plan this year or expect to receive any payment next year?,3,0,Not Required
Did you purchase or sell your primary residence?,1,1837,529/Coverdell Year End Statement 
Please provide letter or number received.,3,0,Not Required
Did you receive an Identity Protection PIN (IP PIN) from the IRS?,1,1853,1099-C
"Did you own or acquire an interest in a partnership, S corporation, trust?",2,0,Not Required
Did you or your spouse receive a distribution from a health savings account (HSA) or a medical savings account (MSA)?,1,1844,Rental Income & Expenses (Per Property)
Did you or your spouse pay any student loan interest this year?,2,0,Not Required
"Did you, your spouse, or your dependents attend a post-secondary school during the year, or plan to attend one in the coming year?",2,0,Not Required
"Did you make any energy-efficient improvements to your main residence such as solar equipment, exterior doors, windows, insulation, furnaces, air conditioners or water heaters last year?",3,0,Not Required
"Did you or your spouse pay for child care while you both worked, looked for work, or were a full-time student?",2,0,Not Required
"Did you receive a Form 1099-K, 1099-MISC, 1099-NEC, or other income statement for work done in what is commonly referred to as the ""gig"" economy?",2,0,Not Required
Did you make any major improvements/repairs on any rental properties? ,3,0,Not Required
"HEALTH INSURANCE: Did you/spouse take distributions from a health savings account (HSA) or medical savings account (MSA)? If so, upload corresponding Form 1099-SA.",3,0,Not Required
Did you or your spouse take a distribution from a qualified college savings plan? ,2,0,Not Required
Did you operate a business or have income that needs to be reported on Schedule C?,2,0,Not Required
Did you make any contributions to a Health savings account (HSA) or Archer MSA?,1,1839,Large Retail Purchase (Bill of Sale)
Did you or your spouse make any gifts to any one entity or individual?,2,0,Not Required
"Did you or your spouse rollover any amount from a retirement plan, annuity plan, tax shelter annuity, or deferred compensation plan to another retirement plan?",1,1851,Foreign Bank Account
Did you make and charitable contributions during the year?,2,0,Not Required
"If applicable, did you or your spouse receive unemployment compensation? If yes, a request to upload the documentation will appear in the ""Documents"" section of TaxCaddy.",1,1832,1099-G (Unemployment Income)
Did you make any contributions to a Health savings account (HSA) or Archer MSA?,1,1839,Large Retail Purchase (Bill of Sale)
"Did your child(ren) attend college at any point last year? If yes, please provide a copy of Form 1098-T.",2,0,Not Required
Did you have an automobile for your business? ,1,1869,Qualified Charitable Distribution (QCD) Proof
Did you purchase or sell your primary residence?  Please provide copies of closing statements for both purchase(s) and/or sale(s),2,0,Not Required
"At any time during 2023, did you: (a) buy; (b) receive (as a reward, award, or compensation); or (c) sell, exchange, trade, gift, or otherwise dispose of a digital asset (or a financial interest in a digital asset)?”",1,1832,1099-G (Unemployment Income)
"Did you sell, exchange, or purchase any real estate during the year?",1,1837,529/Coverdell Year End Statement 
Did you operate a business that is reported on your personal tax return (form Schedule C)?,2,0,Not Required
Did you make any distributions/withdrawals from a Health Savings Account (HSA) last year?,1,1844,Rental Income & Expenses (Per Property)
Did you or your spouse have an interest in an S corporation that had undistributed foreign income subject to the transition tax?,1,1865,Documents for dependent or other person
Did you refinance your primary residence?,3,0,Not Required
Did you or your spouse pay any student loan interest this year?,3,0,Not Required
"If you engaged in crypto activity across multiple exchanges and/or wallets (most common), you will need to accurately reconcile your crypto transactions with software to avoid penalties. Do you want to use a crypto reconciliation tool? We work with CoinTracker to make this process simple and quick. Please click on the following link, create an account, and add your wallets/exchanges. www.cointracker.io/taxcaddy ",3,0,Not Required
Did you make any withdrawals from an education savings or 529 Plan account?,2,0,Not Required
Did you refinance your primary residence?,1,1837,529/Coverdell Year End Statement 
Did you or your spouse pay any individual $2600 or more in household employee wages (employee means works mostly just for you - does not have multiple clients)?,1,1858,Crypto
Did you make any contributions to a Health savings account (HSA) or Archer MSA?,2,0,Not Required
Did you or your spouse make any charitable contributions to any entity or individual?,1,1886,Other Tax Payments
"Did you or your spouse receive a distribution from a retirement plan (401(k), IRA, SEP, SIMPLE, or any other retirement plan) this year?",1,1851,Foreign Bank Account
Did you or your spouse pay any student loan interest this year? If YES Upload Form 1098-E ,3,0,Not Required
Did you donate any money to charity last year?,1,1311,Real Estate Taxes
"Did you get your health insurance through the Federal Marketplace (HealthCare.gov) or a State Marketplace?  If yes, a copy of Form 1095-A is required . ",2,0,Not Required
Did you receive interest or dividend income from non-U.S. sources,1,721,Foreign Information
Did you donate a vehicle or a boat?,2,0,Not Required
"Did you sell an existing business, rental, or other property this year?  If yes, please provide relevant Closing Documents.",1,1837,529/Coverdell Year End Statement 
"Did you make any STATE Estimated Tax Payments for 2023?  If yes, please provide the amounts(s) and date(s) for each payment in the ""Document Request List."" ",1,3023,EV Vehicle bill of sale
Other Deductions - Did you or your spouse have any distributions from a health savings account (HSA)? ,2,0,Not Required
Did you or your spouse receive Social Security Income? ,2,0,Not Required
"If you are divorced or separated with child(ren), do you have a divorce decree or other form of separation agreement which establishes custodial responsibilities?",1,1854,1099-G
"Do you have any unreimbursed business expenses, e.g., as a partner or shareholder? If yes, please provide a schedule of such expenses.",3,0,Not Required
"Do you have any unreimbursed business expenses, e.g., as a partner or shareholder? If yes, please provide a schedule of such expenses.",1,2966,Trust documents
Did you or y our spouse contribute to a Roth IRA or convert an existing IRA into a Roth IRA?,1,1838,Electric Vehicle (Manufacturer's certification and bill of sale)
"Did you incur moving expenses? If yes, please upload documentation of the expenses incurred related to the relocation.",3,0,Not Required
Do you have a non-U.S. pension plan?,1,3236,0
Did you utilize any portion of your home for business use?,1,1870,Taxpayer's Driver License
W2 DRL #2,3,0,Not Required
"Did you a. receive (as a reward, award, or payment) or b. buy, sell or exchange or dispose of a digital asset?",2,0,Not Required
"Did you or your spouse pay for child care while you worked, looked for work, or were a full-time student?",2,0,Not Required
Did you sell an existing business this year?,3,0,Not Required
Did you utilize any portion of your home for business use?,3,0,Not Required
"Did you have any foreign bank accounts with value over $10,000 at any point this tax year? If so, please provide bank account information (Bank Name, Account Number, Address) and highest balance in the account during the year.",1,1873,Spouse's Driver License
"Did you start a business or farm, purchase rental or royalty property, or acquire an interest in a partnership, S corporation, trust, or REMIC?",1,1850,1098-T (Education)
"Did you make any residential energy-efficient improvements or purchases? (Including: solar, insulation, exterior windows/doors, water heaters, furnace/boiler or circulating fan for natural gas or propane)",2,0,Not Required
"Did you purchase or sell your primary residence? (If yes, please provided the closing statement)",1,1837,529/Coverdell Year End Statement 
Did you make any charitable contributions to non-profit organizations?,2,0,Not Required
Did you receive a W2 from a new employer?,2,0,Not Required
"Did you make any noncash charitable contributions (clothes, furniture, etc.)?",2,0,Not Required
"Did you or your spouse receive income through any of the following methods (bartering transaction, tips, prize money, gambling winnings, etc.)? ",3,0,Not Required
"TAX NOTICES: During 2023, did you receive any tax notices (NOT Form 1099-Gs which documents prior year refunds)?  Please upload copies if they were not already provided to POF.",2,0,Not Required
Did you purchase Health Insurance from the Marketplace? Please provide the IRS Form 1095-A (Health Insurance Marketplace Statement) with your tax documents.,2,0,Not Required
Were you a policyholder who received payments under a long-term care (LTC) insurance contract or received any accelerated death benefits from a life insurance policy? ,2,0,Not Required
Did you or your spouse receive correspondence from taxing authority about an Identity Protection PIN?,1,1891,Adoption Expenses
"Did you sell, exchange, or purchase any other real estate during the year?",2,0,Not Required
"Did you or your spouse receive deferred, retirement, or severance compensation?",3,0,Not Required
Did you contribute to a 529 Plan?,2,0,Not Required
Did you or your spouse incur any vehicle registration fees based on the value of the vehicle?,1,1884,Federal Tax Payments
"Did you purchase a vehicle that may qualify for the New, Previoulsy Owned and Qualified Commercial Clean Vehicle Credit? If yes, please submit purchase contract - this is a special document from the dealer called ""seller report,"" ""time of sale report,"" or similar. Note that vehicles purchased from a private party do not qualify",1,1916,1099-G (Unemployment Compensation)
Did you or your spouse make a contribution to a health savings account (HSA) or a medical savings account (MSA)?,3,0,Not Required
Did you sell your primary residence?,2,0,Not Required
Did you make any charitable contributions?,2,0,Not Required
"Did you incur moving expenses? If yes, please upload documentation of the expenses incurred related to the relocation.",2,0,Not Required
Did you or your spouse pay any student loan interest this year?,2,0,Not Required
"If Yes, please provide W-2",1,1246,Schedule K-1s
"Did you pay for child care while you worked, looked for work, or were a full-time student?",2,0,Not Required
"Did you pay estimated taxes for tax year 2023? If yes, please upload documentation of the estimated tax payments.",3,0,Not Required
Did you make any purchases or improvements for an energy-efficient vehicle or home?,1,1862,Closing Statement
"Did you or your spouse make any cash or non-cash charitable contributions to qualified non-profit organizations? If yes, please upload receipts or provide a  listing of amounts, names of the organization, and dates of contributions. For non-cash contributions, receipts are preferred.",1,1886,Other Tax Payments
Did you purchase or sell your primary residence?,1,1837,529/Coverdell Year End Statement 
"Did you incur moving expenses? If yes, please upload documentation of the expenses incurred related to the relocation.",3,0,Not Required
Please include a copy of the notice or other correspondence.,1,1853,1099-C
Did you receive a W2 from a new employer?,1,1848,Voided Check
Did you receive social security benefits in 2023?,1,1830,1099-G (Unemployment)
"OTHER PROPERTIES OWNED: Did you SELL any real estate in 2023, including your primary/secondary residence or other properties owned? If so, please upload copies of closing statements (e.g. HUD/ALTA) from 1) the original purchase and 2) from this sale. ",2,0,Not Required
"Did you receive any distributions from a Health savings account (HSA), Archer MSA, or Medicare Advantage MSA this year?",2,0,Not Required
Did you make any contributions to a Health savings account (HSA) or Archer MSA?,1,1839,Large Retail Purchase (Bill of Sale)
"RETIREMENT CONTRIBUTIONS: Did you/spouse contribute, or plan to contribute to an IRA before 4/15/2024? ",3,0,Not Required
Did you or your spouse receive payment from a pension or profit sharing plan this year or expect to receive any payment next year?,2,0,Not Required
"Did you or your spouse have income and expenses from rental real estate activities? If yes, please upload a summary of rental income and relevant expense incurred to generate the income.",1,1852,Form 8332
"If applicable, did you or your spouse receive unemployment compensation? If yes, a request to upload the documentation will appear in the ""Documents"" section of TaxCaddy.",2,0,Not Required
"Did you incur moving expenses? If yes, please upload documentation of the expenses incurred related to the relocation.",1,1841,IRS/State Notices
Did you or your spouse make any noncash charitable contributions?,1,1887,State and Local Notices
"Did you receive a distribution from an Education Savings Account or a Qualified Tuition Program? If so, please provide all 1099-Q forms received with additional confirmation of all college expenditures.",3,0,Not Required
"Were you married in 2023? (**If you got married, you may file jointly for 2023. PLEASE SUBMIT YOUR SPOUSE'S 2023 FORMS IN ADDITION TO YOURS & THEIR PRIOR YEAR 2022 TAX RETURN)",1,1854,1099-G
"Did you sell, exchange, or purchase any other real estate during the year?",3,0,Not Required
Did you or your spouse receive a state income tax refund during the prior tax year?  ,1,1831,Contracts
Did you or a dependent receive an IRS Identity Protection PIN? ,2,0,Not Required
Did you receive any unemployment benefits during the year? ,1,1831,Contracts
"Did you receive a distribution from, or were you a grantor or transferor for a foreign trust?",3,0,Not Required
"Did you sell, exchange, or purchase any other real estate during the year?",1,1837,529/Coverdell Year End Statement 
Did you or your spouse make any charitable contributions to any entity or individual?,2,0,Not Required
Did you purchase a new primary residence?,2,0,Not Required
"Did you pay estimated taxes for tax year 2023? If yes, please upload documentation of the estimated tax payments. ",2,0,Not Required
Did you or your spouse make estimated federal or state tax payments? ,2,0,Not Required
"Did you pay real estate taxes during the tax year? If yes, please provide documentation for the amount paid.",2,0,Not Required
Did you or your spouse receive unemployment compensation?,2,0,Not Required
Did you utilize any portion of your home for business use?,2,0,Not Required
"Did you sell, exchange, or purchase any other real estate during the year?",1,1837,529/Coverdell Year End Statement 
Did you or your spouse take out a home equity loan this year?,2,0,Not Required
"Did you receive an Identity Protection PIN (IP PIN) from the IRS or have you been a victim of identity theft? If yes, attach the IRS letter.",1,1891,Adoption Expenses
"Did you own any assets abroad in 2023? If so, please provide detail in the document section. ",2,0,Not Required
Did you or your spouse receive unemployment compensation?,2,0,Not Required
"Did you sell, exchange, or purchase any other real estate during the year?",2,0,Not Required
"Did you or your spouse receive payment from a retirement (401(k), IRA, SEP, SIMPLE, or any other retirement plan) this year?",1,1851,Foreign Bank Account
Did you acquire or dispose of any stock during the year?,1,1849,Estimated Tax Payments
Did you purchase or sell your primary residence? (You must have lived there for 2 out of the past 5 years for it to be considered your primary residence),3,0,Not Required
Did you purchase or sell your primary residence?,2,0,Not Required
"Did you make any cash or noncash charitable contributions (clothes, furniture, etc.)?",1,1886,Other Tax Payments
"TAX NOTICES: During 2022, did you receive any tax notices (NOT Form 1099-Gs which documents prior year refunds)?  Please upload copies if they were not already provided to POF.",1,2961,EV Charger
"Did you pay federal or state estimated taxes for tax year 2023? If yes, please upload documentation of the estimated tax payments.",2,0,Not Required
Did you receive any 1099-NEC's?,2,0,Not Required
"Please upload your bank name, bank account # and the routing number of your banking institution.  Please indicate if this a checking or savings account. ",1,1854,1099-G
Was there any distributions from a 529 College Savings Plan or an Educational Savings Account (need Form 1099-Q)?,2,0,Not Required
Mortgage Interest - Do you have a mortgage a personal residence or other property?,2,0,Not Required
Did any bona fide nonbusiness debts owed to you/your spouse or investments that you or your spouse made in the past become worthless during the year?,2,0,Not Required
Were you or your spouse notified by the IRS or other taxing authority of any changes in prior year returns? ,2,0,Not Required
"Did you or your spouse rollover any amount from a retirement plan, annuity plan, tax shelter annuity, or deferred compensation plan to another retirement plan (excluding any items you've already uploaded)?",2,0,Not Required
"If applicable, did you or your spouse receive unemployment compensation?",3,0,Not Required
"Did you or your spouse pay for child care while you worked, looked for work, or were a full-time student?",3,0,Not Required
Did you receive any unemployment benefits during the year? ,2,0,Not Required
"Did you pay estimated taxes for tax year 2023? If yes, please upload documentation of the estimated tax payments.",2,0,Not Required
Did you or your spouse attend classes or a trade school?,2,0,Not Required
"Did you or your spouse receive income from a Corporation, Partnership, Trust, or Estate? ",1,1251,Letters
"Did you or your spouse receive non-employee compensation during the year? If yes, please upload the Form 1099-NEC along with a summary of relevant business expenses incurred to generate the income.",2,0,Not Required
"Did you, your spouse, or a dependent incur any tuition expenses that are required to attend a college, university, or vocational school? If so, please provide a detailed list of your expenditures and a copy of the 1098-T form from the university.",3,0,Not Required
"Other Information - Do any of your dependents require a filed tax return, AND do you intend on having Ellingson & Ellingson prepare the filing? (""Yes"" if both are true)",1,1834,"New Income Source (W2, 1099, K1)"
Did you purchase or sell your primary residence?,3,0,Not Required
"Did you receive a distribution from a Qualified Tuition Program or an Education Savings Account? If so, please provide the tax form in the document section. ",2,0,Not Required
"Were you or your spouse if applicable assigned an Identity Protection PIN (IP PIN) by the IRS?  If so, the IRS provides the number via a letter sent in January of each year OR through your IRS online account.  .  This number changes ANNUALLY and the return cannot be electronically filed without  it.",1,1891,Adoption Expenses
Did you pay mortgage interest?,1,1875,Home Purchase Disclosure
"Did you pay real estate taxes during the tax year? If yes, please provide documentation for the amount paid.",1,1883,1099-G Unemployment Compensation
"LONG TERM CARE: Did you/spouse receive any distributions from long-term care insurance contracts?  If so, please upload corresponding Form 1099-LTC.",3,0,Not Required
"Did you sell, exchange, or purchase any other real estate during the year?",2,0,Not Required
Did you make cash contributions to a qualified US organization/charity? ,3,0,Not Required
Did you or your spouse make a withdrawal from an HSA?,3,0,Not Required
Did you work for an employer this year?,2,0,Not Required
"Did you or your children attend college during 2023? If so, please provide the Form 1098T, PLUS a copy of the ledger of expenses paid which you can print from your college account.",2,0,Not Required
"Did you or your spouse make any large retail purchases (cars, boats, etc.)?",1,1884,Federal Tax Payments
"Did you, your spouse, or a dependent obtain healthcare coverage through Marketplace?",2,0,Not Required
Did you or your spouse receive interest or dividends?,3,0,Not Required
"Did you pay estimated taxes for tax year 2023? If yes, please upload documentation of the estimated tax payments.",1,1895,Loan Closing Statement
"Did you or your spouse have income and expenses from rental real estate activities? If yes, please upload a summary of rental income and relevant expense incurred to generate the income.",3,0,Not Required
"Did you, your spouse, or any dependent(s) receive Health Insurance Marketplace Statement Form 1095-A? If yes please upload it with your documents.",2,0,Not Required
Itemized Deductions - Did you refinance your primary residence?,3,0,Not Required
"Please provide evidence such as a receipt from the donee organization, a canceled check, or record of payment, to substantiate all contributions made.",3,0,Not Required
Do you use the space in your home exclusively and regularly for administrative or management activities of your business?,1,1870,Taxpayer's Driver License
Did you or your spouse receive any foreign income or pay any foreign taxes?  *This does not include foreign income received from accounts managed by Exencial.,1,1866,Identity Protection PIN (IP PIN) Letter
Did you or your spouse receive any distributions from a Health savings account (HSA)?,1,1844,Rental Income & Expenses (Per Property)
Do you pay long term care insurance premiums?  ,1,1881,Form 3921 - Exercise of Incentive Stock Options
"Did you pay estimated taxes for tax year 2023? If yes, please upload documentation of the estimated tax payments.",2,0,Not Required
Did you purchase or sell your primary residence?,2,0,Not Required
"Did you pay estimated taxes for tax year 2023? If yes, please upload documentation of the estimated tax payments.",1,1895,Loan Closing Statement
"Were you or your spouse grantor or transferor for a foreign trust, have any interest in or a signature authority over a bank account, securities account or other financial account in a foreign country?",3,0,Not Required
Did you receive a distribution from a health savings account (HSA) or medical savings account (MSA)?,1,1844,Rental Income & Expenses (Per Property)
Did you or your spouse pay any student loan interest this year?,2,0,Not Required
"Do you have a home equity loan, or did you take out a new home equity loan this year?",3,0,Not Required
"Did you receive Form 1099-S for the sale of your home? If so, please upload a copy. ",3,0,Not Required
"DEBTS: Did you/spouse have any debts canceled, forgiven or refinanced (other than mortgage loan refinance) in 2023? If so, upload documentation such as Form 1099-C.",2,0,Not Required
"Did you convert a traditional IRA to a Roth IRA during the year? If yes, please upload all Forms 1099-R related to the conversion and Forms 5498 for all IRA accounts (regular and Roth IRA).",1,1851,Foreign Bank Account
"Did you have any educational expenses during the year on behalf of yourself, your spouse or your dependent(s)?",2,0,Not Required
"Did you or your spouse exercise any stock options or sell, gift or donate any ESPP shares?  Please provide all Forms 1099-B, 3921, 3922, and stock plan transactions supplement report. ",2,0,Not Required
Did you or your spouse receive any Miscellaneous Income? ,1,1255,Child Care Expenses
Were you or your spouse notified or audited by the IRS or a State taxing agency?,3,0,Not Required
Did you take any distributions from an education saving plan such as a 529?,2,0,Not Required
"If not applicable, did you or your spouse receive employment certificate?",1,1840,Vehicle/Boat Donation (1098-C)
"DEPENDENTS: Did you adopt a child or begin adoption proceedings and pay adoption fees, court costs, attorney fees, and other expenses that are directly related to a legal adoption?   If so, upload related documentation.",2,0,Not Required
"Did you pay estimated taxes for tax year 2023? If yes, please upload documentation of the estimated tax payments.",1,1895,Loan Closing Statement
Did your spouse work for an employer this year?,2,0,Not Required
"Did you pay estimated taxes for tax year 2023? If yes, please upload documentation of the estimated tax payments.",2,0,Not Required
Did you receive an IRS Identity Protection PIN? ,1,1891,Adoption Expenses
"Please upload your bank name, bank account # and the routing number of your banking institution.  Please indicate if this a checking or savings account. ",3,0,Not Required
Did you make any contributions to or withdrawals from a 529 Plan account in the year?,3,0,Not Required
"You indicated retirement contributions or distributions for this year. Did you or your spouse receive payment from retirement, or severance compensation?",1,1851,Foreign Bank Account
"Did you sell an existing business, rental, or other property this year?",2,0,Not Required
"Did you, your spouse, or dependent received healthcare coverage through the Marketplace?",1,1859,Business auto usage
"Did you take any distributions from an HSA in 2023?  (Unless you tell us otherwise, all distributions will be assumed to have been used for qualified medical expenses.)",1,1844,Rental Income & Expenses (Per Property)
"Did you take any distributions from an HSA in 2023?  (Unless you tell us otherwise, all distributions will be assumed to have been used for qualified medical expenses.)",2,0,Not Required
"Did you incur moving expenses? If yes, please upload documentation of the expenses incurred related to the relocation.",1,1841,IRS/State Notices
"Did you, your spouse, or any dependent receive healthcare coverage through Marketplace this year?",2,0,Not Required
"Did you pay estimated taxes for tax year 2023? If yes, please upload documentation of the estimated tax payments.",2,0,Not Required
"Did you sell, exchange, or purchase any real estate during the year?",2,0,Not Required
"Other Information - Do any of your dependents require a filed tax return, AND do you intend on having Ellingson & Ellingson prepare the filing? (""Yes"" if both are true)",3,0,Not Required
"Did you incur moving expenses? If yes, please upload documentation of the expenses incurred related to the relocation.",2,0,Not Required
Did you receive any unemployment benefits during the year?,2,0,Not Required
"Did you purchase or sell your primary residence?  If ""Yes"", please send HUD settlement statement from sale or purchase.",2,0,Not Required
"Did you make any cash or noncash charitable contributions (clothes, furniture, etc.)? If yes, please provide evidence such as a receipt from the donee organization, a canceled check, or record of payment, to substantiate all contributions made.",1,1886,Other Tax Payments
Did you open any new bank or brokerage accounts in 2023?,1,1849,Estimated Tax Payments
"Did you receive any distributions from a Health Savings Account (HSA), Archer MSA, or Medicare Advantage MSA this year?",3,0,Not Required
Did you make any charitable contributions (cash or property) during the year?,1,1886,Other Tax Payments
"please include all Forms 1099-Q and provide the following:  Name of designated beneficiary, state sponsoring plan, 2023 contribution , 2023 distribution",1,1833,Energy Efficient Improvements (Manufacturer's Certificate Statement/Receipt of purchase) 
"Did you or your spouse have any canceled, forgiven, or partially forgiven debt? ",2,0,Not Required
Question 1,2,0,Not Required
"Did you or your spouse receive an IP PIN Letter from the IRS? If so, please provide it to us. Without this form, you will be unable to efile. (*Note that if you use an IP PIN, you will receive a NEW PIN annually)  **You and your spouse might EACH receive a PIN - please provide BOTH if this is the case.",2,0,Not Required
Did you purchase or sell your primary residence?,1,1836,"Cyrpto Transaction(s) Detail  (Form 8949, Excel spreadsheet of transactions,  Schedule D)"
"Did you incur moving expenses? If yes, please upload documentation of the expenses incurred related to the relocation.",2,0,Not Required
Did you refinance a mortgage during 2023?,3,0,Not Required
Did you or your spouse make any charitable cash donations?,1,1886,Other Tax Payments
"Have you received any tax notices from any taxing authorities during the year?  If yes, please upload copies of the notices to the ""Document Request List.""  (if you have not already provided to your accountant)",1,3025,1099-S Proceeds from Real Estate transaction
Mortgage Interest - Did you or your spouse take out a home equity loan this year?,3,0,Not Required
"Did you or your spouse receive income through any of the following methods: bartering transaction, tips, prize money, gambling winnings, etc.?",2,0,Not Required
Did you or your spouse take out a home equity loan/HELOC this year?,1,1837,529/Coverdell Year End Statement 
"If applicable, did you or your spouse receive unemployment compensation?  If so, please provide 1099-G.",2,0,Not Required
"Did you pay estimated taxes for tax year 2023? If yes, please upload documentation of the estimated tax payments.",2,0,Not Required
"Did you have a financial interest in or signature authority over a financial account such as a bank account, securities account, or brokerage account, located in a foreign country?",2,0,Not Required
"Did you or your spouse install any energy efficiency improvement or energy property in your residence such as exterior doors or windows, insulation, heat pumps, furnaces, central air conditioners, or water heaters?",2,0,Not Required
Did you pay federal and state estimates?,3,0,Not Required
Did you refinance your primary residence or take out a home equity loan?,3,0,Not Required
"Did you receive an Identity Protection PIN (IP PIN) from the IRS or have you been a victim of identity theft? If yes, attach the IRS letter for filing returns in 2023.",2,0,Not Required
"Did you incur moving expenses? If yes, please upload documentation of the expenses incurred related to the relocation.",2,0,Not Required
Has your bank account information changed?,2,0,Not Required
"Did you or your spouse have any debts which you owed that were canceled or forgiven including foreclosures?  If so, provide 1099-C or other documentation.",2,0,Not Required
Do you have an IP PIN? (https://www.irs.gov/identity-theft-fraud-scams/retrieve-your-ip-pin),1,3050,529 / Education Account Year-End Statement
"If yes, please provide closing statement.",1,1854,1099-G
Did you or your spouse make any gifts or contributions to any one entity or individual?,1,1886,Other Tax Payments
"Did you receive any distributions from an HSA? If so, were all distributions made for qualified medical expense?",2,0,Not Required
Did you utilize any portion of your home exclusively for business use?,2,0,Not Required
Did you or your spouse pay any student loan interest this year?,1,1845,Unemployment (1099-G)
"Loan Forgiveness - Did you have any debts forgiven or cancelled, including credit cards or other debt?",3,0,Not Required
Please provide us with information about this.,1,1889,529 Contribution Documentation
Was the insurance provided from Covered California or other government marketplace?,2,0,Not Required
Other Deductions - Did you or your spouse pay any student loan interest this year?,2,0,Not Required
Did you donate a vehicle or a boat?,2,0,Not Required
"Did you or your spouse receive payment from retirement plan this year? If so, provide IRS Form(s) 1099-R.",3,0,Not Required
"DEPENDENTS: Did you adopt a child or begin adoption proceedings and pay adoption fees, court costs, attorney fees, and other expenses that are directly related to a legal adoption?   If so, upload related documentation.",3,0,Not Required
"Is 2023 the first year of attendance or are there any new attendance(s) that began after 2022? If yes, please provide documentation provided by the school or institution that details tuition, scholarships or other expenses)",1,1864,PPP Loan Details
"Did you incur moving expenses? If yes, please upload documentation of the expenses incurred related to the relocation.",3,0,Not Required
"Did you or your spouse pay any individual $2,600 or more in household employee wages?",1,1858,Crypto
"Did you or your spouse rollover any amount from a retirement plan, annuity plan, tax shelter annuity, or deferred compensation plan to another retirement plan?",2,0,Not Required
"Did you pay out-of-pocket medical expenses (co-pays, prescription drugs, eyeglasses, dental, etc.)?",2,0,Not Required
Did you or your spouse pay any student loan interest this year?,1,1845,Unemployment (1099-G)
"Did you make any cash or noncash charitable contributions (clothes, furniture, etc.)?",2,0,Not Required
